NCBItaxID	Taxonomy	Species	RefSeqCounts
ncbi_232444		Brevibacterium sanguinis	1
ncbi_1267768		Brevirhabdus pacifica	3
ncbi_2561924		Brevundimonas sp. MF30-B	1
ncbi_1848616		Brevundimonas sp. MYb31	1
ncbi_1848617		Brevundimonas sp. MYb33	1
ncbi_1848620		Brevundimonas sp. MYb46	1
ncbi_1848622		Brevundimonas sp. MYb52	1
ncbi_2561925		Brevundimonas sp. S30B	1
ncbi_120577		Brucella ceti	1
ncbi_120577		Brucella ceti B1/94	2
ncbi_120577		Brucella ceti M13/05/1	1
ncbi_120577		Brucella ceti M490/95/1	1
ncbi_120577		Brucella ceti M644/93/1	1
ncbi_120577		Brucella ceti str. Cudo	1
ncbi_120577		Brucella ceti TE10759-12	1
ncbi_120577		Brucella ceti TE28753-12	1
ncbi_1218315		Brucella inopinata BO1	1
ncbi_120576		Brucella pinnipedialis	1
ncbi_120576		Brucella pinnipedialis B2/94	2
ncbi_120576		Brucella pinnipedialis M163/99/10	1
ncbi_120576		Brucella pinnipedialis M292/94/1	1
ncbi_1891098		Brucella sp. 2002734562	1
ncbi_1169234		Brucella sp. 56/94	1
ncbi_1160235		Brucella sp. 63/311	1
ncbi_520449		Brucella sp. 83/13	1
ncbi_1905694		Brucella sp. CMUL 003	1
ncbi_1905695		Brucella sp. CMUL 004	1
ncbi_1906855		Brucella sp. CMUL 010	1
ncbi_1906856		Brucella sp. CMUL 013	1
ncbi_1905696		Brucella sp. CMUL 014	1
ncbi_1906857		Brucella sp. CMUL 018	1
ncbi_1912098		Brucella sp. CMUL 024	1
ncbi_1905698		Brucella sp. CMUL 025	1
ncbi_1912099		Brucella sp. CMUL 026	1
ncbi_1905699		Brucella sp. CMUL 027	1
ncbi_1912100		Brucella sp. CMUL 029	1
ncbi_1927133		Brucella sp. CMUL 030	1
ncbi_1927134		Brucella sp. CMUL 031	1
ncbi_1927136		Brucella sp. CMUL 034	1
ncbi_1927135		Brucella sp. CMUL 035	1
ncbi_1909733		Brucella sp. CMUL 08	1
ncbi_437670		Brucella sp. F23/97	1
ncbi_1169233		Brucella sp. F5/06	1
ncbi_437701		Brucella sp. F5/99	1
ncbi_437687		Brucella sp. F8/99	1
ncbi_437671		Brucella sp. F96/2	1
