Order	Rank	NCBItaxID	SciNameFull	SciNameFull_found	Taxonomy	SciName	Found_Taxonomy			
4	O1	1906125	Candidatus Gastranaerophilus		d__Bacteria|p__Candidatus Melainabacteria|o__Candidatus Gastranaerophilus	Candidatus Gastranaerophilus			Viruses	
4	O2	670955	Candidatus Uzinura		d__Bacteria|p__Bacteriodetes|c__Flavobacteriia|o__Flavobacteriales	Candidatus Uzinura			Viruses	
4	O1	1508594	Chloroflexineae	Chloroflexales	d__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	Chloroflexineae			Viruses	
4	O1	538999	Clostridiales incertae sedis	Clostridiales	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	Clostridiales 			Viruses	
4	O1	227334	Coniophorineae		d__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales	Coniophorineae	d__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales		Viruses	
4	O1	2499399	Cornidovirineae		d__Viruses|o__Nidovirales	Cornidovirineae	d__Viruses|o__Nidovirales		Viruses	
4	O1	80811	Cystobacterineae		d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	Cystobacterineae			Viruses	
4	O1	162479	Entylomatales incertae sedis	Entylomatales	d__Eukaryota|p__Basidiomycota|c__Exobasidiomycetes|o__Entylomatales	Entylomatales 	d__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Entylomatales		Viruses	
4	O1	159639	Helotiales incertae sedis	Helotiales	d__Eukaryota|p__Ascomycota|c__Leotiomycetes|o__Helotiales	Helotiales 			Viruses	
4	O1	1255046	Massarineae		d__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	Massarineae			Mastadenovirus	d__Viruses|f__Adenoviridae|g__Mastadenovirus
4	O1	2499400	Mesnidovirineae		d__Viruses|o__Mesnidovirineae	Mesnidovirineae			Dolphin mastadenovirus B	d__Viruses|f__Adenoviridae|g__Mastadenovirus|s__Dolphin mastadenovirus B
