	superkingdom		phylum		class		order		family		genus		species	Full	SciNameFull_found
d__	Viruses											|s__	Apis mellifera filamentous virus	d__Viruses|s__Apis mellifera filamentous virus	Apis mellifera filamentous virus
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Apocheima cinerarium nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Apocheima cinerarium nucleopolyhedrovirus	Apocheima cinerarium nucleopolyhedrovirus
d__	Viruses					|o__	Caudovirales	|f__	Podoviridae	|g__	Aqualcavirus	|s__	Aquamicrobium virus P14	d__Viruses|o__Caudovirales|f__Podoviridae|g__Aqualcavirus|s__Aquamicrobium virus P14	Aquamicrobium virus P14
d__	Viruses							|f__	Reoviridae	|g__	Aquareovirus	|s__	Aquareovirus G	d__Viruses|f__Reoviridae|g__Aquareovirus|s__Aquareovirus G	Aquareovirus G
d__	Bacteria	|p__	Aquificae	|c__	Aquificae	|o__	Aquificales							d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	Aquificales
d__	Archaea													d__Archaea	Archaea
d__	Archaea													d__Archaea	Archaea
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria	|o__	Enterobacterales	|f__	Morganellaceae	|g__	Arsenophonus	|s__	Arsenophonus endosymbiont of Aleurodicus dispersus	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus|s__Arsenophonus endosymbiont of Aleurodicus dispersus	Arsenophonus endosymbiont of Aleurodicus dispersus
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria	|o__	Enterobacterales	|f__	Morganellaceae	|g__	Arsenophonus	|s__	Arsenophonus endosymbiont of Aleurodicus floccissimus	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus|s__Arsenophonus endosymbiont of Aleurodicus floccissimus	Arsenophonus endosymbiont of Aleurodicus floccissimus
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria	|o__	Enterobacterales	|f__	Morganellaceae	|g__	Arsenophonus	|s__	Arsenophonus endosymbiont of Bemisia tabaci	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus|s__Arsenophonus endosymbiont of Bemisia tabaci	Arsenophonus endosymbiont of Bemisia tabaci
